"","assigned_to_cluster","timestamp","lon","lat","clusterStart","clusterEnd"
"848",20,"2016-01-05 16:10:09",-51.2304999,-30.0329999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"847",33,"2016-01-05 16:11:45",-37.0774654,-10.916206,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"846",11,"2016-01-05 16:18:16",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"845",38,"2016-01-05 16:19:38",121.0486155,14.6509905,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"844",31,"2016-01-05 16:23:00",-43.9450947,-19.9227317,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"843",26,"2016-01-05 16:27:33",-47.0608299,-22.9055599,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"842",12,"2016-01-05 16:29:20",-69.3215666,10.0740372,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"841",11,"2016-01-05 16:30:37",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"840",21,"2016-01-05 16:31:17",-51.179386,-29.1684795,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"839",21,"2016-01-05 16:33:15",-54.4779286,-27.8643545,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"838",38,"2016-01-05 16:33:56",121.0486155,14.6509905,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"837",27,"2016-01-05 16:38:24",-49.253269,-16.6808819,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"836",21,"2016-01-05 16:40:33",-54.4779286,-27.8643545,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"835",24,"2016-01-05 16:54:06",-53.1999999,-10.3333332,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"834",20,"2016-01-05 16:58:50",-51.2304999,-30.0329999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"833",36,"2016-01-05 17:16:58",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"832",36,"2016-01-05 17:23:58",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"831",26,"2016-01-05 18:03:39",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"830",21,"2016-01-05 18:11:12",-51.9626137,-29.4675211,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"829",NA,"2016-01-05 18:18:14",-42.8095879,-5.0896402,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"828",30,"2016-01-05 18:39:13",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"827",25,"2016-01-05 18:43:56",-48.6535656,-27.02736,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"826",11,"2016-01-05 18:45:26",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"825",NA,"2016-01-05 18:54:00",-102.5,22.0000001,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"824",31,"2016-01-05 18:54:15",-44.4305992,-18.7571925,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"823",26,"2016-01-05 19:03:41",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"822",30,"2016-01-05 19:05:00",-43.4729341,-20.8571755,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"821",11,"2016-01-05 19:05:19",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"820",11,"2016-01-05 19:14:07",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"819",NA,"2016-01-05 19:14:36",-81.3066245,8.3096067,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"818",18,"2016-01-05 19:15:43",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"817",20,"2016-01-05 19:16:36",-51.2304999,-30.0329999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"816",11,"2016-01-05 19:17:04",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"815",18,"2016-01-05 19:32:38",-57.4999999,-25.4999999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"814",20,"2016-01-05 19:32:54",-51.2304999,-30.0329999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"813",17,"2016-01-05 19:40:25",-57.9537637,-34.9206796,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"812",18,"2016-01-05 19:41:47",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"811",26,"2016-01-05 19:47:48",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"810",30,"2016-01-05 19:53:53",-41.8875266,-22.7597804,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"809",36,"2016-01-05 20:02:51",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"808",17,"2016-01-05 20:09:54",-57.9537637,-34.9206796,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"807",11,"2016-01-05 20:24:03",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
