"Labels","2016-01-04","2016-01-11","2016-01-18","2016-01-25","2016-02-01","2016-02-08","2016-02-15","2016-02-22","2016-02-29","2016-03-07","2016-03-14","2016-03-21","2016-03-28","2016-04-04","2016-04-11","2016-04-18","2016-04-25","2016-05-02","2016-05-09","2016-05-16","2016-05-23","2016-05-30","2016-06-06","2016-06-13","2016-06-20","2016-06-27","2016-07-04","2016-07-11","2016-07-18","2016-07-25","2016-08-01","2016-08-08","2016-08-15","2016-08-22","2016-08-29","2016-09-05","2016-09-12","2016-09-19","2016-09-26","2016-10-03","2016-10-10","2016-10-17","2016-10-24","2016-10-31","2016-11-07","2016-11-14","2016-11-21","country"
"Nariño",3,7,13,22,17,16,20,18,28,8,5,5,4,1,6,4,2,1,1,3,3,0,1,5,2,0,3,3,0,1,1,5,2,2,1,1,1,0,3,1,1,0,1,2,2,0,5,"Colombia"
"Cundinamarca",3,1,2,6,10,6,3,1,5,3,0,3,0,7,10,8,9,9,12,4,10,6,4,3,0,1,3,1,0,3,1,1,1,1,2,0,1,1,1,2,8,7,6,8,14,12,13,"Colombia"
"Caldas",9,6,2,2,15,6,8,7,9,2,1,12,1,1,1,5,6,4,0,4,4,0,0,1,1,8,5,3,1,2,4,2,0,0,0,0,4,1,2,0,1,1,0,0,7,0,0,"Colombia"
"Caquetá",4,2,1,0,4,4,0,2,2,0,3,1,4,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,"Colombia"
"Quindío",4,7,2,2,6,0,2,5,0,0,2,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Colombia"
"Arauca",1,1,1,2,1,2,0,0,0,0,0,1,1,4,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Colombia"
"Chocó",0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,"Colombia"
"Putumayo",0,1,3,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"Colombia"
"San Andrés y Providencia",0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Colombia"
"Vaupés",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Colombia"
"Vichada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Colombia"
"Guaviare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Colombia"
"Guainía",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Colombia"
"Amazonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Colombia"
"Pichincha",141,270,534,834,1139,549,335,351,158,105,199,112,150,135,149,288,60,145,118,50,34,52,68,33,134,102,96,204,111,70,52,25,44,38,35,35,24,19,32,44,28,39,37,12,9,85,50,"Ecuador"
"Guayas",181,211,290,309,308,332,194,153,63,95,138,76,58,141,60,168,65,50,44,42,42,30,59,63,98,85,40,105,64,37,49,18,30,36,11,92,57,24,34,24,12,17,25,6,6,24,12,"Ecuador"
"Loja",23,68,129,117,133,34,28,3,33,10,9,13,19,17,2,10,7,37,82,21,15,8,42,19,52,75,23,19,17,26,4,8,31,15,14,11,14,11,3,2,0,10,7,11,0,0,18,"Ecuador"
"Manabi",52,26,28,72,66,28,14,148,137,5,72,9,5,5,20,38,2,37,39,14,19,13,5,2,5,5,0,5,7,4,2,0,3,2,0,4,0,0,0,0,1,1,3,2,0,0,0,"Ecuador"
"El Oro",9,33,71,76,52,28,21,8,25,8,15,6,19,8,9,6,4,10,26,13,6,4,19,10,12,45,147,9,5,23,2,20,12,4,57,2,0,6,6,5,3,11,6,7,1,6,10,"Ecuador"
"Los Rios",0,2,5,9,198,9,106,81,28,8,0,4,19,19,1,2,1,1,0,0,0,1,22,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,4,1,0,"Ecuador"
