"adminLvl1","country","date","count"
"Lambayeque","Peru",2016-01-11,4
"Callao","Peru",2016-01-11,4
"Callao","Peru",2016-01-11,4
"Loreto","Peru",2016-01-11,4
"San Martín","Peru",2016-01-11,2
"Cajamarca","Peru",2016-01-11,0
"Madre de Dios","Peru",2016-01-11,5
"Cusco","Peru",2016-01-11,2
"Huánuco","Peru",2016-01-11,0
"Tumbes","Peru",2016-01-11,0
"Ica","Peru",2016-01-11,0
"Huancavelica","Peru",2016-01-11,2
"Tacna","Peru",2016-01-11,0
"Amazonas","Peru",2016-01-11,0
"Moquegua","Peru",2016-01-11,0
"Apurímac","Peru",2016-01-11,0
"Pasco","Peru",2016-01-11,0
"Paramaribo","Suriname",2016-01-11,0
"Wanica","Suriname",2016-01-11,0
"Sipaliwini","Suriname",2016-01-11,0
"Saramacca","Suriname",2016-01-11,0
"Para","Suriname",2016-01-11,0
"Nickerie","Suriname",2016-01-11,0
"Marowijne","Suriname",2016-01-11,0
"Coronie","Suriname",2016-01-11,0
"Commewijne","Suriname",2016-01-11,0
"Brokopondo","Suriname",2016-01-11,0
"Montevideo","Uruguay",2016-01-11,544
"Canelones","Uruguay",2016-01-11,15
"Maldonado","Uruguay",2016-01-11,12
"Salto","Uruguay",2016-01-11,42
"Lavalleja","Uruguay",2016-01-11,13
"Tacuarembó","Uruguay",2016-01-11,11
"Paysandú","Uruguay",2016-01-11,8
"Durazno","Uruguay",2016-01-11,3
"Colonia","Uruguay",2016-01-11,6
"Río Negro","Uruguay",2016-01-11,0
"Artigas","Uruguay",2016-01-11,0
"Rocha","Uruguay",2016-01-11,3
"Flores","Uruguay",2016-01-11,0
"Rivera","Uruguay",2016-01-11,7
"Soriano","Uruguay",2016-01-11,4
"Treinta y Tres","Uruguay",2016-01-11,3
"Cerro Largo","Uruguay",2016-01-11,0
"San José","Uruguay",2016-01-11,1
"Florida","Uruguay",2016-01-11,0
"Distrito Capital","Venezuela",2016-01-11,6190
"Aragua","Venezuela",2016-01-11,1459
"Carabobo","Venezuela",2016-01-11,500
"Zulia","Venezuela",2016-01-11,486
"Lara","Venezuela",2016-01-11,206
"Táchira","Venezuela",2016-01-11,103
"Guárico","Venezuela",2016-01-11,76
"Barinas","Venezuela",2016-01-11,41
"Monagas","Venezuela",2016-01-11,44
"Bolívar","Venezuela",2016-01-11,73
"Anzoátegui","Venezuela",2016-01-11,47
"Miranda","Venezuela",2016-01-11,62
"Falcón","Venezuela",2016-01-11,74
"Vargas","Venezuela",2016-01-11,16
"Cojedes","Venezuela",2016-01-11,23
"Mérida","Venezuela",2016-01-11,104
"Yaracuy","Venezuela",2016-01-11,9
"Trujillo","Venezuela",2016-01-11,14
"Portuguesa","Venezuela",2016-01-11,32
"Nueva Esparta","Venezuela",2016-01-11,21
"Sucre","Venezuela",2016-01-11,10
"Apure","Venezuela",2016-01-11,3
"Amazonas","Venezuela",2016-01-11,1
"Delta Amacuro","Venezuela",2016-01-11,2
"Dependencias Federales","Venezuela",2016-01-11,0
"Buenos Aires","Argentine",2016-01-18,24475
"Buenos Aires Province","Argentine",2016-01-18,5716
"Misiones Province","Argentine",2016-01-18,2438
"Santa Fe Province","Argentine",2016-01-18,1630
"Corrientes Province","Argentine",2016-01-18,661
"Salta Province","Argentine",2016-01-18,153
"Chaco Province","Argentine",2016-01-18,380
"Mendoza Province","Argentine",2016-01-18,553
"Entre Ríos Province","Argentine",2016-01-18,245
"Córdoba Province, Argentina","Argentine",2016-01-18,237
"Tucumán Province","Argentine",2016-01-18,308
"Chubut Province","Argentine",2016-01-18,153
"Jujuy Province","Argentine",2016-01-18,193
"Neuquén Province","Argentine",2016-01-18,113
"Formosa Province","Argentine",2016-01-18,222
"Río Negro Province","Argentine",2016-01-18,128
"Tierra del Fuego Province","Argentine",2016-01-18,83
"Catamarca Province","Argentine",2016-01-18,67
"Santa Cruz Province","Argentine",2016-01-18,43
"La Pampa Province","Argentine",2016-01-18,21
"La Rioja Province","Argentine",2016-01-18,39
"San Luis Province","Argentine",2016-01-18,18
"San Juan Province","Argentine",2016-01-18,11
"Santiago del Estero Province","Argentine",2016-01-18,24
"La Paz","Bolivia",2016-01-18,107
"El Beni","Bolivia",2016-01-18,16
"Santa Cruz","Bolivia",2016-01-18,5
"Tarija","Bolivia",2016-01-18,17
"Cochabamba","Bolivia",2016-01-18,4
"Potosí","Bolivia",2016-01-18,0
"Oruro","Bolivia",2016-01-18,2
"Chuquisaca","Bolivia",2016-01-18,0
"Pando","Bolivia",2016-01-18,0
"Federal District","Brazil",2016-01-18,16642
"São Paulo","Brazil",2016-01-18,3216
"Rio de Janeiro","Brazil",2016-01-18,1687
"Minas Gerais","Brazil",2016-01-18,1693
"Paraná","Brazil",2016-01-18,1926
"Rio Grande do Sul","Brazil",2016-01-18,539
"Santa Catarina","Brazil",2016-01-18,522
"Bahia","Brazil",2016-01-18,592
"Pernambuco","Brazil",2016-01-18,416
"Goiás","Brazil",2016-01-18,311
"Rio Grande do Norte","Brazil",2016-01-18,225
"Espírito Santo","Brazil",2016-01-18,243
"Ceará","Brazil",2016-01-18,228
"Pará","Brazil",2016-01-18,223
"Paraíba","Brazil",2016-01-18,295
"Maranhão","Brazil",2016-01-18,111
"Amazonas","Brazil",2016-01-18,138
"Mato Grosso do Sul","Brazil",2016-01-18,229
"Mato Grosso","Brazil",2016-01-18,125
"Alagoas","Brazil",2016-01-18,83
"Piauí","Brazil",2016-01-18,88
"Tocantins","Brazil",2016-01-18,73
"Amapá","Brazil",2016-01-18,126
"Sergipe","Brazil",2016-01-18,58
"Acre","Brazil",2016-01-18,46
"Rondônia","Brazil",2016-01-18,45
"Roraima","Brazil",2016-01-18,15
"Región Metropolitana de Santiago","Chile",2016-01-18,2361
"Bío-Bío","Chile",2016-01-18,84
"Valparaíso","Chile",2016-01-18,45
"Los Lagos","Chile",2016-01-18,42
"La Araucanía","Chile",2016-01-18,18
"Maule","Chile",2016-01-18,38
"Atacama","Chile",2016-01-18,6
"Coquimbo","Chile",2016-01-18,7
"Los Ríos","Chile",2016-01-18,8
"Antofagasta","Chile",2016-01-18,9
"Tarapacá","Chile",2016-01-18,3
"Libertador General Bernardo O'Higgins","Chile",2016-01-18,11
"Arica y Parinacota","Chile",2016-01-18,1
"Magallanes y Antártica Chilena","Chile",2016-01-18,3
"Aisén del General Carlos Ibáñez del Campo","Chile",2016-01-18,0
"Córdoba","Colombia",2016-01-18,1505
"Bogota","Colombia",2016-01-18,607
"Antioquia","Colombia",2016-01-18,117
"Atlántico","Colombia",2016-01-18,29
"Cauca","Colombia",2016-01-18,256
"Valle del Cauca","Colombia",2016-01-18,109
"Bolívar","Colombia",2016-01-18,80
"Santander","Colombia",2016-01-18,61
"Cesar","Colombia",2016-01-18,80
"Sucre","Colombia",2016-01-18,27
"Risaralda","Colombia",2016-01-18,6
"Meta","Colombia",2016-01-18,11
"Huila","Colombia",2016-01-18,16
"Boyacá","Colombia",2016-01-18,17
"Magdalena","Colombia",2016-01-18,14
"Casanare","Colombia",2016-01-18,2
"Norte de Santander","Colombia",2016-01-18,18
"Tolima","Colombia",2016-01-18,15
"La Guajira","Colombia",2016-01-18,15
"Nariño","Colombia",2016-01-18,13
"Cundinamarca","Colombia",2016-01-18,2
"Caldas","Colombia",2016-01-18,2
"Caquetá","Colombia",2016-01-18,1
"Quindío","Colombia",2016-01-18,2
"Arauca","Colombia",2016-01-18,1
"Chocó","Colombia",2016-01-18,0
"Putumayo","Colombia",2016-01-18,3
"San Andrés y Providencia","Colombia",2016-01-18,0
"Vaupés","Colombia",2016-01-18,0
"Vichada","Colombia",2016-01-18,0
"Guaviare","Colombia",2016-01-18,0
"Guainía","Colombia",2016-01-18,0
"Amazonas","Colombia",2016-01-18,0
"Pichincha","Ecuador",2016-01-18,534
"Guayas","Ecuador",2016-01-18,290
"Loja","Ecuador",2016-01-18,129
"Manabi","Ecuador",2016-01-18,28
"El Oro","Ecuador",2016-01-18,71
"Los Rios","Ecuador",2016-01-18,5
"Azuay","Ecuador",2016-01-18,24
"Esmeraldas","Ecuador",2016-01-18,5
"Zamora Chinchipe","Ecuador",2016-01-18,4
"Tungurahua","Ecuador",2016-01-18,10
"Santa Elena","Ecuador",2016-01-18,5
"Morona Santiago","Ecuador",2016-01-18,1
"Imbabura","Ecuador",2016-01-18,4
"Galápagos","Ecuador",2016-01-18,0
"Chimborazo","Ecuador",2016-01-18,3
"Napo","Ecuador",2016-01-18,3
"Orellana","Ecuador",2016-01-18,2
"Santo Domingo de los Tsáchilas","Ecuador",2016-01-18,5
"Cañar","Ecuador",2016-01-18,0
"Cotopaxi","Ecuador",2016-01-18,0
"Sucumbios","Ecuador",2016-01-18,9
"Pastaza","Ecuador",2016-01-18,0
"Bolivar","Ecuador",2016-01-18,0
"Carchi","Ecuador",2016-01-18,0
"East Berbice-Corentyne","Guyana",2016-01-18,3
"Mahaica-Berbice","Guyana",2016-01-18,0
"Upper Takutu-Upper Essequibo","Guyana",2016-01-18,0
"Upper Demerara-Berbice","Guyana",2016-01-18,0
"Potaro-Siparuni","Guyana",2016-01-18,0
"Pomeroon-Supenaam","Guyana",2016-01-18,0
"Essequibo Islands-West Demerara","Guyana",2016-01-18,0
"Demerara-Mahaica","Guyana",2016-01-18,0
"Cuyuni-Mazaruni","Guyana",2016-01-18,0
"Barima-Waini","Guyana",2016-01-18,0
"Asunción","Paraguay",2016-01-18,2956
"Central","Paraguay",2016-01-18,159
"Alto Paraná","Paraguay",2016-01-18,90
"Itapúa","Paraguay",2016-01-18,72
"Caaguazú","Paraguay",2016-01-18,63
"Misiones","Paraguay",2016-01-18,48
